listing_price,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,lng,lat,weekend
138.13320825515947,Private room,2.0,True,1,0,10.0,98.0,1,4.328028749030367,0.2984835717601209,2.450656128071693,7.910210035722471,-9.14034,38.75137,0
124.06191369606005,Private room,2.0,True,1,0,10.0,97.0,1,4.465503748917454,0.2936025238531798,2.3958746863935594,7.777875165668591,-9.14092,38.7526,0
194.18386491557223,Private room,4.0,True,1,0,10.0,87.0,2,4.475232333118461,0.1678595316796527,2.394126588434417,7.960651452834158,-9.14245,38.75264,0
191.6041275797373,Entire home/apt,4.0,False,0,1,9.0,89.0,1,0.8509777965987042,0.5894446521743438,13.52580504096631,36.06804392965552,-9.13,38.711,0
327.86116322701685,Entire home/apt,6.0,False,1,0,9.0,93.0,2,0.6670291637732783,0.5303514458359754,17.72918287059984,34.693020612434864,-9.132,38.713,0
179.8780487804878,Private room,2.0,False,0,1,6.0,40.0,1,4.886625263800069,0.4550470155798555,2.244392164034242,7.1499522450950055,-9.14069,38.7564,0
145.1688555347092,Private room,2.0,False,0,1,9.0,88.0,1,4.892941011406482,0.4745905171612104,2.242767382446196,7.172831338252498,-9.14044,38.75646,0
145.1688555347092,Private room,2.0,False,0,1,9.0,80.0,1,4.861506807434055,0.536908697646084,2.255872205143185,7.252506888219316,-9.13917,38.75618,0
175.42213883677297,Private room,3.0,False,0,1,10.0,95.0,1,4.888595769953327,0.4660095945534708,2.244028278819136,7.165438464910904,-9.14053,38.75642,0
275.3283302063789,Entire home/apt,4.0,True,1,0,10.0,95.0,1,0.898020900101524,0.543717360397582,11.061960418528288,30.3941310318439,-9.12958,38.71424,0
94.04315196998124,Private room,2.0,False,0,0,10.0,94.0,1,7.329467689142593,0.2061123757576314,1.905726576384704,4.35940399617926,-9.117,38.776,0
310.0375234521576,Entire home/apt,3.0,False,0,1,10.0,91.0,2,0.7429092719825623,0.3841788425639927,12.326433172114696,39.92685616847097,-9.13216,38.70912,0
269.6998123827392,Entire home/apt,4.0,False,0,0,9.0,95.0,2,0.8944948401355018,0.5054139857092064,13.659692492833337,33.79874712862082,-9.12935,38.71205,0
159.00562851782362,Entire home/apt,4.0,False,0,1,10.0,94.0,1,6.934858845691541,0.5016820230048508,2.226283779889813,4.682266468605088,-9.112,38.771,0
213.18011257035647,Entire home/apt,4.0,True,0,1,10.0,96.0,1,1.043291350579638,0.3520534225543664,12.42132031098241,31.427824847252094,-9.12763,38.71239,0
172.84240150093808,Entire home/apt,4.0,True,0,0,10.0,96.0,1,5.653880256161422,4.552295883259406,4.287537656059299,6.271358126314554,-9.20359,38.70318,0
270.63789868667914,Entire home/apt,4.0,False,1,0,9.0,95.0,1,0.8107703478235287,0.5869730704443371,18.13859050592996,38.78855989170875,-9.13031,38.71212,0
139.30581613508443,Private room,2.0,True,0,1,10.0,100.0,1,3.86365518747316,0.4838010489701054,2.6418781723649807,8.541481058119805,-9.135,38.747,0
298.54596622889306,Entire home/apt,4.0,False,0,1,10.0,100.0,1,0.705319838736058,0.4832943171325025,13.497786249819493,54.2351535478672,-9.13201,38.71019,0
248.1238273921201,Entire home/apt,6.0,False,1,0,10.0,95.0,3,0.753526840076195,0.5871589493290381,14.159391557725046,34.00660459611633,-9.131,38.713,0
228.89305816135084,Entire home/apt,4.0,True,1,0,10.0,95.0,1,0.6809428960368784,0.5835567731454475,17.009547394290077,36.128141315008925,-9.1318,38.71252,0
356.7073170731707,Entire home/apt,5.0,True,0,0,10.0,100.0,3,3.941231656083632,0.1707763139159194,2.685982527835902,9.032948636604347,-9.14681,38.747440000000005,0
193.94934333958724,Entire home/apt,3.0,True,1,0,9.0,93.0,1,0.6668638845346917,0.5287566485325723,14.380513474995654,38.91078479062519,-9.13223,38.71079,0
223.26454033771105,Entire home/apt,4.0,False,0,0,9.0,94.0,1,0.8677339750265568,0.5395815948127857,14.05114775851875,34.630051081738046,-9.12968,38.71176,0
257.97373358348966,Entire home/apt,4.0,False,0,0,10.0,96.0,2,1.0154653400684692,0.5896241575324705,10.6540870513452,26.807113774014613,-9.12866,38.70923,0
241.5572232645403,Entire home/apt,4.0,True,0,1,10.0,93.0,2,0.925111301171318,0.4763993611317469,13.908923418395675,33.995500543005626,-9.129,38.712,0
96.38836772983116,Private room,2.0,False,1,0,10.0,93.0,1,7.106934120093532,0.5441099828192458,1.8766610428175536,4.450780428380033,-9.12154,38.77483,0
245.0750469043152,Entire home/apt,3.0,True,0,1,10.0,97.0,1,0.8340346793610794,0.5667602115570178,14.651955686287788,35.358435785760115,-9.13005,38.71198,0
82.3170731707317,Private room,2.0,False,0,1,9.0,91.0,1,7.371793048159188,0.4818092373215031,1.831770148777501,4.322292938074274,-9.12,38.777,0
315.90056285178235,Entire home/apt,4.0,True,0,0,10.0,96.0,1,2.7630281177078277,1.9532687656945105,3.4424924571321083,11.232946206925174,-9.17058,38.70672,0
121.95121951219512,Private room,2.0,True,0,0,10.0,97.0,1,0.4328965976643542,0.3615702474043615,17.15924605021409,39.22665838350176,-9.13486,38.71349,0
139.30581613508443,Private room,2.0,False,0,1,9.0,91.0,1,0.4108850446511192,0.3532091048519486,15.167370414910955,49.11578288490746,-9.136,38.71,0
92.87054409005628,Private room,2.0,False,1,0,10.0,96.0,1,6.803785424102102,0.7642486015836781,1.712673559413724,4.751922533408266,-9.16756,38.76965,0
